"WEEK","VEND","UPC","UNITS","DOLLARS","F","D","VOL_EQ","PPU"
1,45300,"00-01-45300-00542",14,29.26,"NONE",0,1.0187,2.09
1,45300,"00-01-45300-00549",32,66.88,"NONE",0,1.0187,2.09
1,45300,"00-01-45300-00540",8,16.72,"NONE",0,1.0187,2.09
1,51500,"00-01-51500-00055",11,31.79,"NONE",0,1.125,2.89
1,51500,"00-01-51500-25525",5,11.1,"NONE",0,1.125,2.22
1,51500,"00-02-51500-24128",97,215.34,"NONE",0,1.125,2.22
1,51500,"00-01-51500-25544",36,79.92,"NONE",0,1.125,2.22
1,51500,"00-01-51500-24320",30,71.7,"NONE",0,1.125,2.39
1,51500,"00-01-51500-25545",17,37.74,"NONE",0,1.125,2.22
1,51500,"00-01-51500-24135",13,28.86,"NONE",0,1.125,2.22
1,51500,"00-01-51500-24334",7,21.63,"NONE",0,0.8438,3.09
1,51500,"00-01-51500-72000",18,39.96,"NONE",0,1.0812,2.22
1,51500,"00-01-51500-01700",37,110.63,"NONE",0,1,2.99
1,79311,"00-01-79311-00004",43,83.85,"NONE",0,1,1.95
1,79311,"00-02-79311-00003",38,74.1,"NONE",0,1,1.95
1,51087,"08-01-51087-00006",1,4.69,"NONE",0,1,4.69
1,33776,"00-03-33776-10035",4,13.56,"NONE",0,1,3.39
1,33776,"00-01-33776-10037",3,10.17,"NONE",0,1,3.39
1,33776,"00-01-33776-10030",1,3.39,"NONE",0,1,3.39
1,33776,"00-01-33776-10033",6,20.34,"NONE",0,1,3.39
1,51651,"00-01-51651-09235",8,38.32,"NONE",0,1,4.79
1,48001,"00-01-48001-00643",19,56.81,"NONE",0,1.0187,2.99
1,48001,"00-01-48001-00641",4,11.96,"NONE",0,1.0187,2.99
1,48001,"00-01-48001-00687",40,119.6,"NONE",0,0.9375,2.99
1,99998,"88-02-99998-35369",24,51.6,"NONE",0,1,2.15
1,99998,"88-02-99998-35182",15,22.35,"NONE",0,1.125,1.49
1,99998,"88-02-99998-35364",99,167.31,"NONE",0,1.125,1.69
1,99998,"88-02-99998-35365",20,33.67,"NONE",0,1.0812,1.6835
1,99998,"88-02-99998-35347",26,43.94,"NONE",0,1.125,1.69
1,99998,"88-02-99998-35276",17,36.55,"NONE",0,1,2.15
1,99998,"88-02-99998-35373",31,76.39,"NONE",0,1.125,2.4641935483871
1,99998,"88-02-99998-35197",28,47.32,"NONE",0,1.125,1.69
1,99998,"88-02-99998-35483",5,7.45,"NONE",0,1.125,1.49
1,99998,"88-02-99998-35374",5,12.2,"NONE",0,1.125,2.44
2,45300,"00-01-45300-00542",18,37.62,"NONE",0,1.0187,2.09
2,45300,"00-01-45300-00549",34,71.06,"NONE",0,1.0187,2.09
2,45300,"00-01-45300-00540",5,10.45,"NONE",0,1.0187,2.09
2,51500,"00-01-51500-00055",5,14.45,"NONE",0,1.125,2.89
2,51500,"00-01-51500-25525",11,24.42,"NONE",0,1.125,2.22
2,51500,"00-02-51500-24128",87,193.14,"NONE",0,1.125,2.22
2,51500,"00-01-51500-25544",31,68.82,"NONE",0,1.125,2.22
2,51500,"00-01-51500-24320",23,54.97,"NONE",0,1.125,2.39
2,51500,"00-01-51500-25545",10,22.2,"NONE",0,1.125,2.22
2,51500,"00-01-51500-24135",12,26.64,"NONE",0,1.125,2.22
2,51500,"00-01-51500-24334",7,21.63,"NONE",0,0.8438,3.09
2,51500,"00-01-51500-72000",26,57.72,"NONE",0,1.0812,2.22
2,51500,"00-01-51500-01700",17,50.83,"NONE",0,1,2.99
2,79311,"00-01-79311-00004",6,13.02,"NONE",0,1,2.17
2,79311,"00-02-79311-00003",17,39.31,"NONE",0,1,2.31235294117647
2,51087,"08-01-51087-00006",5,23.45,"NONE",0,1,4.69
2,33776,"00-03-33776-10035",3,10.17,"NONE",0,1,3.39
2,33776,"00-01-33776-10037",4,13.56,"NONE",0,1,3.39
2,33776,"00-01-33776-10030",6,20.34,"NONE",0,1,3.39
2,33776,"00-01-33776-10033",6,20.34,"NONE",0,1,3.39
2,51651,"00-01-51651-09235",1,4.79,"NONE",0,1,4.79
2,48001,"00-01-48001-00643",33,98.67,"NONE",0,1.0187,2.99
2,48001,"00-01-48001-00641",13,38.87,"NONE",0,1.0187,2.99
2,48001,"00-01-48001-00687",30,89.7,"NONE",0,0.9375,2.99
2,72457,"00-01-72457-66011",1,3.99,"NONE",0,0.75,3.99
2,99998,"88-02-99998-35369",25,53.75,"NONE",0,1,2.15
2,99998,"88-02-99998-35182",8,11.92,"NONE",0,1.125,1.49
2,99998,"88-02-99998-35364",113,190.97,"NONE",0,1.125,1.69
2,99998,"88-02-99998-35365",19,32.11,"NONE",0,1.0812,1.69
2,99998,"88-02-99998-35347",19,32.11,"NONE",0,1.125,1.69
2,99998,"88-02-99998-35276",28,60.2,"NONE",0,1,2.15
2,99998,"88-02-99998-35373",35,85.4,"NONE",0,1.125,2.44
2,99998,"88-02-99998-35197",30,50.7,"NONE",0,1.125,1.69
2,99998,"88-02-99998-35483",13,19.37,"NONE",0,1.125,1.49
2,99998,"88-02-99998-35374",9,21.96,"NONE",0,1.125,2.44
3,45300,"00-01-45300-00542",12,25.08,"NONE",0,1.0187,2.09
3,45300,"00-01-45300-00549",41,85.69,"NONE",0,1.0187,2.09
3,45300,"00-01-45300-00540",10,20.9,"NONE",0,1.0187,2.09
3,51500,"00-01-51500-00055",8,23.12,"NONE",0,1.125,2.89
3,51500,"00-01-51500-25525",4,8.88,"NONE",0,1.125,2.22
3,51500,"00-02-51500-24128",102,226.44,"NONE",0,1.125,2.22
3,51500,"00-01-51500-25544",26,57.72,"NONE",0,1.125,2.22
3,51500,"00-01-51500-24320",32,76.48,"NONE",0,1.125,2.39
3,51500,"00-01-51500-25545",17,37.74,"NONE",0,1.125,2.22
3,51500,"00-01-51500-24135",13,28.86,"NONE",0,1.125,2.22
3,51500,"00-01-51500-24334",4,12.36,"NONE",0,0.8438,3.09
3,51500,"00-01-51500-72000",17,37.6,"NONE",0,1.0812,2.21176470588235
3,51500,"00-01-51500-01700",32,95.68,"NONE",0,1,2.99
3,79311,"00-01-79311-00004",6,14.34,"NONE",0,1,2.39
3,79311,"00-02-79311-00003",14,33.46,"NONE",0,1,2.39
3,51087,"08-01-51087-00006",2,9.38,"NONE",0,1,4.69
3,33776,"00-03-33776-10035",4,13.56,"NONE",0,1,3.39
3,33776,"00-01-33776-10037",3,10.17,"NONE",0,1,3.39
3,33776,"00-01-33776-10030",6,20.34,"NONE",0,1,3.39
3,33776,"00-01-33776-10033",7,23.73,"NONE",0,1,3.39
3,51651,"00-01-51651-09235",6,28.74,"NONE",0,1,4.79
3,48001,"00-01-48001-00643",24,71.76,"NONE",0,1.0187,2.99
3,48001,"00-01-48001-00641",10,29.9,"NONE",0,1.0187,2.99
3,48001,"00-01-48001-00687",25,74.46,"NONE",0,0.9375,2.9784
3,72457,"00-01-72457-66011",2,7.98,"NONE",0,0.75,3.99
3,99998,"88-02-99998-35369",23,46.25,"NONE",0,1,2.01086956521739
3,99998,"88-02-99998-35182",2,2.98,"NONE",0,1.125,1.49
3,99998,"88-02-99998-35364",130,219.7,"B",0,1.125,1.69
3,99998,"88-02-99998-35365",16,27.04,"B",0,1.0812,1.69
3,99998,"88-02-99998-35347",15,25.35,"B",0,1.125,1.69
3,99998,"88-02-99998-35276",34,67.5,"NONE",0,1,1.98529411764706
3,99998,"88-02-99998-35373",29,70.76,"NONE",0,1.125,2.44
3,99998,"88-02-99998-35197",31,52.39,"B",0,1.125,1.69
3,99998,"88-02-99998-35483",6,8.94,"NONE",0,1.125,1.49
3,99998,"88-02-99998-35374",7,16.84,"NONE",0,1.125,2.40571428571429
4,45300,"00-01-45300-00542",2,4.38,"NONE",0,1.0187,2.19
4,45300,"00-01-45300-00549",15,31.95,"NONE",0,1.0187,2.13
4,45300,"00-01-45300-00540",6,12.74,"NONE",0,1.0187,2.12333333333333
4,51500,"00-01-51500-00055",4,11.56,"NONE",0,1.125,2.89
4,51500,"00-01-51500-25525",6,13.32,"NONE",0,1.125,2.22
4,51500,"00-02-51500-24128",120,266.4,"NONE",0,1.125,2.22
4,51500,"00-01-51500-25544",23,51.06,"NONE",0,1.125,2.22
4,51500,"00-01-51500-24320",15,35.85,"NONE",0,1.125,2.39
4,51500,"00-01-51500-25545",14,31.08,"NONE",0,1.125,2.22
4,51500,"00-01-51500-24135",8,17.76,"NONE",0,1.125,2.22
4,51500,"00-01-51500-24334",3,9.27,"NONE",0,0.8438,3.09
4,51500,"00-01-51500-72000",23,51.06,"NONE",0,1.0812,2.22
4,51500,"00-01-51500-01700",21,62.79,"NONE",0,1,2.99
4,79311,"00-01-79311-00004",5,11.95,"NONE",0,1,2.39
4,79311,"00-02-79311-00003",11,26.29,"NONE",0,1,2.39
4,51087,"08-01-51087-00006",3,14.07,"NONE",0,1,4.69
4,33776,"00-03-33776-10035",1,3.39,"NONE",0,1,3.39
4,33776,"00-01-33776-10037",1,3.39,"NONE",0,1,3.39
4,33776,"00-01-33776-10030",3,10.17,"NONE",0,1,3.39
4,33776,"00-01-33776-10033",6,20.34,"NONE",0,1,3.39
4,51651,"00-01-51651-09235",1,4.79,"NONE",0,1,4.79
4,48001,"00-01-48001-00643",17,50.83,"NONE",0,1.0187,2.99
4,48001,"00-01-48001-00641",5,14.95,"NONE",0,1.0187,2.99
4,48001,"00-01-48001-00687",20,59.8,"NONE",0,0.9375,2.99
4,99998,"88-02-99998-35369",17,33.83,"NONE",0,1,1.99
4,99998,"88-02-99998-35182",5,7.45,"NONE",0,1.125,1.49
4,99998,"88-02-99998-35364",120,202.8,"B",1,1.125,1.69
4,99998,"88-02-99998-35365",12,20.28,"B",0,1.0812,1.69
4,99998,"88-02-99998-35347",11,18.59,"B",0,1.125,1.69
4,99998,"88-02-99998-35276",22,43.78,"NONE",0,1,1.99
4,99998,"88-02-99998-35373",19,46.36,"NONE",0,1.125,2.44
4,99998,"88-02-99998-35197",33,55.77,"B",1,1.125,1.69
4,99998,"88-02-99998-35483",2,2.98,"NONE",0,1.125,1.49
4,99998,"88-02-99998-35374",6,14.64,"NONE",0,1.125,2.44
5,45300,"00-01-45300-00542",2,4.38,"NONE",0,1.0187,2.19
5,45300,"00-01-45300-00549",8,17.52,"NONE",0,1.0187,2.19
5,45300,"00-01-45300-00540",9,19.71,"NONE",0,1.0187,2.19
5,51500,"00-01-51500-00055",10,28.9,"NONE",0,1.125,2.89
5,51500,"00-01-51500-25525",9,19.98,"NONE",0,1.125,2.22
5,51500,"00-02-51500-24128",69,153.18,"NONE",0,1.125,2.22
5,51500,"00-01-51500-25544",34,75.48,"NONE",0,1.125,2.22
5,51500,"00-01-51500-24320",21,50.19,"NONE",0,1.125,2.39
5,51500,"00-01-51500-25545",18,40.08,"NONE",0,1.125,2.22666666666667
5,51500,"00-01-51500-24135",16,35.52,"NONE",0,1.125,2.22
5,51500,"00-01-51500-24334",3,9.27,"NONE",0,0.8438,3.09
5,51500,"00-01-51500-72000",14,31.08,"NONE",0,1.0812,2.22
5,51500,"00-01-51500-01700",24,71.76,"NONE",0,1,2.99
5,79311,"00-01-79311-00004",8,19.12,"NONE",0,1,2.39
5,79311,"00-02-79311-00003",15,35.85,"NONE",0,1,2.39
5,51087,"08-01-51087-00006",1,4.69,"NONE",0,1,4.69
5,33776,"00-03-33776-10035",4,13.56,"NONE",0,1,3.39
5,33776,"00-01-33776-10037",5,16.95,"NONE",0,1,3.39
5,33776,"00-01-33776-10030",5,16.95,"NONE",0,1,3.39
5,33776,"00-01-33776-10033",5,16.95,"NONE",0,1,3.39
5,51651,"00-01-51651-09235",4,19.96,"NONE",0,1,4.99
5,48001,"00-01-48001-00643",24,71.76,"NONE",0,1.0187,2.99
5,48001,"00-01-48001-00641",10,29.9,"NONE",0,1.0187,2.99
5,48001,"00-01-48001-00687",19,56.81,"NONE",0,0.9375,2.99
5,99998,"88-02-99998-35369",22,43.78,"NONE",0,1,1.99
5,99998,"88-02-99998-35182",7,10.43,"NONE",0,1.125,1.49
5,99998,"88-02-99998-35364",84,141.96,"NONE",1,1.125,1.69
5,99998,"88-02-99998-35365",12,20.28,"NONE",0,1.0812,1.69
5,99998,"88-02-99998-35347",8,13.52,"NONE",0,1.125,1.69
5,99998,"88-02-99998-35276",27,53.73,"NONE",0,1,1.99
5,99998,"88-02-99998-35373",5,12.8,"NONE",0,1.125,2.56
5,99998,"88-02-99998-35197",25,42.25,"NONE",1,1.125,1.69
5,99998,"88-02-99998-35483",5,7.45,"NONE",0,1.125,1.49
5,99998,"88-02-99998-35374",8,20.42,"NONE",0,1.125,2.5525
6,45300,"00-01-45300-00542",3,6.57,"NONE",0,1.0187,2.19
6,45300,"00-01-45300-00549",9,19.71,"NONE",0,1.0187,2.19
6,45300,"00-01-45300-00540",2,4.38,"NONE",0,1.0187,2.19
6,51500,"00-01-51500-00055",9,26.01,"NONE",0,1.125,2.89
6,51500,"00-01-51500-25525",9,19.98,"NONE",0,1.125,2.22
6,51500,"00-02-51500-24128",87,193.14,"NONE",0,1.125,2.22
6,51500,"00-01-51500-25544",34,75.48,"NONE",0,1.125,2.22
6,51500,"00-01-51500-24320",36,86.04,"NONE",0,1.125,2.39
6,51500,"00-01-51500-25545",20,44.4,"NONE",0,1.125,2.22
6,51500,"00-01-51500-24135",28,62.16,"NONE",0,1.125,2.22
6,51500,"00-01-51500-24334",6,18.54,"NONE",0,0.8438,3.09
6,51500,"00-01-51500-72000",14,31.08,"NONE",0,1.0812,2.22
6,51500,"00-01-51500-01700",21,62.79,"NONE",0,1,2.99
6,79311,"00-01-79311-00004",7,16.73,"NONE",0,1,2.39
6,79311,"00-02-79311-00003",10,23.9,"NONE",0,1,2.39
6,51087,"08-01-51087-00006",4,18.76,"NONE",0,1,4.69
6,33776,"00-03-33776-10035",11,37.29,"NONE",0,1,3.39
6,33776,"00-01-33776-10037",10,33.9,"NONE",0,1,3.39
6,33776,"00-01-33776-10030",2,6.78,"NONE",0,1,3.39
6,51651,"00-01-51651-09235",2,9.98,"NONE",0,1,4.99
6,48001,"00-01-48001-00643",21,62.79,"NONE",0,1.0187,2.99
6,48001,"00-01-48001-00641",8,23.92,"NONE",0,1.0187,2.99
6,48001,"00-01-48001-00687",27,80.73,"NONE",0,0.9375,2.99
6,99998,"88-02-99998-35369",21,41.79,"NONE",0,1,1.99
6,99998,"88-02-99998-35182",11,16.39,"NONE",0,1.125,1.49
6,99998,"88-02-99998-35364",90,152.1,"NONE",1,1.125,1.69
6,99998,"88-02-99998-35365",10,16.9,"NONE",0,1.0812,1.69
6,99998,"88-02-99998-35347",12,20.28,"NONE",0,1.125,1.69
6,99998,"88-02-99998-35276",37,73.63,"NONE",0,1,1.99
6,99998,"88-02-99998-35373",10,25.9,"NONE",0,1.125,2.59
6,99998,"88-02-99998-35197",41,69.29,"NONE",1,1.125,1.69
6,99998,"88-02-99998-35483",3,4.47,"NONE",0,1.125,1.49
6,99998,"88-02-99998-35374",5,12.95,"NONE",0,1.125,2.59
7,45300,"00-01-45300-00542",7,15.33,"NONE",0,1.0187,2.19
7,45300,"00-01-45300-00549",4,8.76,"NONE",0,1.0187,2.19
7,45300,"00-01-45300-00540",2,4.38,"NONE",0,1.0187,2.19
7,51500,"00-01-51500-00055",7,20.23,"NONE",0,1.125,2.89
7,51500,"00-01-51500-25525",5,11.1,"NONE",0,1.125,2.22
7,51500,"00-02-51500-24128",85,188.7,"NONE",0,1.125,2.22
7,51500,"00-01-51500-25544",39,86.58,"NONE",0,1.125,2.22
7,51500,"00-01-51500-24320",30,71.7,"NONE",0,1.125,2.39
7,51500,"00-01-51500-25545",19,42.18,"NONE",0,1.125,2.22
7,51500,"00-01-51500-24135",20,44.4,"NONE",0,1.125,2.22
7,51500,"00-01-51500-24334",7,21.63,"NONE",0,0.8438,3.09
7,51500,"00-01-51500-72000",15,33.3,"NONE",0,1.0812,2.22
7,51500,"00-01-51500-01700",31,92.69,"NONE",0,1,2.99
7,79311,"00-01-79311-00004",11,26.29,"NONE",0,1,2.39
7,79311,"00-02-79311-00003",17,40.63,"NONE",0,1,2.39
7,51087,"08-01-51087-00006",3,14.07,"NONE",0,1,4.69
7,33776,"00-03-33776-10035",2,6.78,"NONE",0,1,3.39
7,33776,"00-01-33776-10037",5,16.95,"NONE",0,1,3.39
7,33776,"00-01-33776-10030",7,23.73,"NONE",0,1,3.39
7,33776,"00-01-33776-10033",3,10.17,"NONE",0,1,3.39
7,51651,"00-01-51651-09235",6,29.94,"NONE",0,1,4.99
7,48001,"00-01-48001-00643",143,254.67,"NONE",0,1.0187,1.78090909090909
7,48001,"00-01-48001-00641",40,75.4,"NONE",0,1.0187,1.885
7,48001,"00-01-48001-00687",118,229.32,"NONE",0,0.9375,1.94338983050847
7,99998,"88-02-99998-35369",15,31.93,"NONE",0,1,2.12866666666667
7,99998,"88-02-99998-35182",11,16.39,"NONE",0,1.125,1.49
7,99998,"88-02-99998-35364",72,121.65,"NONE",0,1.125,1.68958333333333
7,99998,"88-02-99998-35365",6,10.14,"NONE",0,1.0812,1.69
7,99998,"88-02-99998-35347",13,21.97,"NONE",0,1.125,1.69
7,99998,"88-02-99998-35276",25,51.35,"NONE",0,1,2.054
7,99998,"88-02-99998-35373",10,25.9,"NONE",0,1.125,2.59
7,99998,"88-02-99998-35197",21,35.49,"NONE",0,1.125,1.69
7,99998,"88-02-99998-35483",1,1.49,"NONE",0,1.125,1.49
7,99998,"88-02-99998-35374",7,18.13,"NONE",0,1.125,2.59
8,45300,"00-01-45300-00542",9,19.71,"NONE",0,1.0187,2.19
8,45300,"00-01-45300-00549",13,28.47,"NONE",0,1.0187,2.19
8,45300,"00-01-45300-00540",4,8.76,"NONE",0,1.0187,2.19
8,51500,"00-01-51500-00055",9,26.01,"NONE",0,1.125,2.89
8,51500,"00-01-51500-25525",8,17.76,"NONE",0,1.125,2.22
8,51500,"00-02-51500-24128",60,131.61,"NONE",0,1.125,2.1935
8,51500,"00-01-51500-25544",23,51.06,"NONE",0,1.125,2.22
8,51500,"00-01-51500-24320",29,65.19,"NONE",0,1.125,2.24793103448276
8,51500,"00-01-51500-25545",27,59.94,"NONE",0,1.125,2.22
8,51500,"00-01-51500-24135",20,44.4,"NONE",0,1.125,2.22
8,51500,"00-01-51500-24334",7,21.63,"NONE",0,0.8438,3.09
8,51500,"00-01-51500-72000",11,24.42,"NONE",0,1.0812,2.22
8,51500,"00-01-51500-01700",27,80.73,"NONE",0,1,2.99
8,79311,"00-01-79311-00004",10,23.9,"NONE",0,1,2.39
8,79311,"00-02-79311-00003",20,47.8,"NONE",0,1,2.39
8,51087,"08-01-51087-00006",6,28.14,"NONE",0,1,4.69
8,33776,"00-03-33776-10035",1,3.39,"NONE",0,1,3.39
8,33776,"00-01-33776-10037",6,20.34,"NONE",0,1,3.39
8,33776,"00-01-33776-10030",6,20.34,"NONE",0,1,3.39
8,33776,"00-01-33776-10033",7,23.73,"NONE",0,1,3.39
8,51651,"00-01-51651-09235",1,4.99,"NONE",0,1,4.99
8,48001,"00-01-48001-00643",18,42.12,"NONE",0,1.0187,2.34
8,48001,"00-01-48001-00641",9,15.21,"NONE",0,1.0187,1.69
8,48001,"00-01-48001-00687",232,412.88,"NONE",0,0.9375,1.77965517241379
8,72457,"00-01-72457-66011",3,8.97,"NONE",0,0.75,2.99
8,99998,"88-02-99998-35369",14,30.1,"NONE",0,1,2.15
8,99998,"88-02-99998-35182",9,13.41,"NONE",0,1.125,1.49
8,99998,"88-02-99998-35364",63,106.47,"NONE",0,1.125,1.69
8,99998,"88-02-99998-35365",12,20.13,"NONE",0,1.0812,1.6775
8,99998,"88-02-99998-35347",17,28.58,"NONE",0,1.125,1.68117647058824
8,99998,"88-02-99998-35276",33,70.95,"NONE",0,1,2.15
8,99998,"88-02-99998-35373",23,57.05,"NONE",0,1.125,2.4804347826087
8,99998,"88-02-99998-35197",18,30.42,"NONE",0,1.125,1.69
8,99998,"88-02-99998-35483",1,1.49,"NONE",0,1.125,1.49
8,99998,"88-02-99998-35374",15,36.75,"NONE",0,1.125,2.45
9,45300,"00-01-45300-00542",1,2.19,"NONE",0,1.0187,2.19
9,45300,"00-01-45300-00549",12,26.28,"NONE",0,1.0187,2.19
9,45300,"00-01-45300-00540",5,10.95,"NONE",0,1.0187,2.19
9,51500,"00-01-51500-00055",10,28.9,"NONE",0,1.125,2.89
9,51500,"00-01-51500-25525",4,8.88,"NONE",0,1.125,2.22
9,51500,"00-02-51500-24128",88,195.36,"NONE",0,1.125,2.22
9,51500,"00-01-51500-25544",40,88.8,"NONE",0,1.125,2.22
9,51500,"00-01-51500-24320",25,55.5,"NONE",0,1.125,2.22
9,51500,"00-01-51500-25545",24,53.28,"NONE",0,1.125,2.22
9,51500,"00-01-51500-24135",22,48.84,"NONE",0,1.125,2.22
9,51500,"00-01-51500-24334",5,15.45,"NONE",0,0.8438,3.09
9,51500,"00-01-51500-72000",16,35.52,"NONE",0,1.0812,2.22
9,51500,"00-01-51500-01700",23,68.77,"NONE",0,1,2.99
9,79311,"00-01-79311-00004",8,19.12,"NONE",0,1,2.39
9,79311,"00-02-79311-00003",15,35.85,"NONE",0,1,2.39
9,51087,"08-01-51087-00006",3,14.07,"NONE",0,1,4.69
9,33776,"00-03-33776-10035",2,6.78,"NONE",0,1,3.39
9,33776,"00-01-33776-10037",6,20.09,"NONE",0,1,3.34833333333333
9,33776,"00-01-33776-10030",13,44.07,"NONE",0,1,3.39
9,33776,"00-01-33776-10033",6,20.34,"NONE",0,1,3.39
9,51651,"00-01-51651-09235",6,25.74,"NONE",0,1,4.29
9,48001,"00-01-48001-00643",24,71.76,"NONE",0,1.0187,2.99
9,48001,"00-01-48001-00641",12,31.9,"NONE",0,1.0187,2.65833333333333
9,48001,"00-01-48001-00687",23,68.77,"NONE",0,0.9375,2.99
9,99998,"88-02-99998-35369",14,30.1,"NONE",0,1,2.15
9,99998,"88-02-99998-35182",17,21.97,"NONE",0,1.125,1.29235294117647
9,99998,"88-02-99998-35364",70,118.3,"NONE",0,1.125,1.69
9,99998,"88-02-99998-35365",19,32.11,"NONE",0,1.0812,1.69
9,99998,"88-02-99998-35347",14,23.66,"NONE",0,1.125,1.69
9,99998,"88-02-99998-35276",22,47.3,"NONE",0,1,2.15
9,99998,"88-02-99998-35373",26,63.7,"NONE",0,1.125,2.45
9,99998,"88-02-99998-35197",13,21.97,"NONE",0,1.125,1.69
9,99998,"88-02-99998-35483",3,4.47,"NONE",0,1.125,1.49
9,99998,"88-02-99998-35374",10,24.5,"NONE",0,1.125,2.45
10,45300,"00-01-45300-00542",9,19.71,"NONE",0,1.0187,2.19
10,45300,"00-01-45300-00549",10,21.9,"NONE",0,1.0187,2.19
10,45300,"00-01-45300-00540",5,10.95,"NONE",0,1.0187,2.19
10,51500,"00-01-51500-00055",9,26.01,"NONE",0,1.125,2.89
10,51500,"00-01-51500-25525",18,39.96,"NONE",0,1.125,2.22
10,51500,"00-02-51500-24128",73,162,"NONE",0,1.125,2.21917808219178
10,51500,"00-01-51500-25544",40,88.8,"NONE",0,1.125,2.22
10,51500,"00-01-51500-24320",29,64.38,"NONE",0,1.125,2.22
10,51500,"00-01-51500-25545",30,66.6,"NONE",0,1.125,2.22
10,51500,"00-01-51500-24135",22,48.84,"NONE",0,1.125,2.22
10,51500,"00-01-51500-24334",15,46.35,"NONE",0,0.8438,3.09
10,51500,"00-01-51500-72000",22,48.84,"NONE",0,1.0812,2.22
10,51500,"00-01-51500-01700",32,95.68,"NONE",0,1,2.99
10,79311,"00-01-79311-00004",16,38.24,"NONE",0,1,2.39
10,79311,"00-02-79311-00003",14,33.46,"NONE",0,1,2.39
10,51087,"08-01-51087-00006",2,9.38,"NONE",0,1,4.69
10,33776,"00-03-33776-10035",3,10.17,"NONE",0,1,3.39
10,33776,"00-01-33776-10037",5,16.95,"NONE",0,1,3.39
10,33776,"00-01-33776-10030",5,16.95,"NONE",0,1,3.39
10,33776,"00-01-33776-10033",6,20.34,"NONE",0,1,3.39
10,51651,"00-01-51651-09235",4,17.16,"NONE",0,1,4.29
10,48001,"00-01-48001-00643",29,86.71,"NONE",0,1.0187,2.99
10,48001,"00-01-48001-00641",10,29.9,"NONE",0,1.0187,2.99
10,48001,"00-01-48001-00687",35,104.65,"NONE",0,0.9375,2.99
10,99998,"88-02-99998-35369",26,55.9,"NONE",0,1,2.15
10,99998,"88-02-99998-35182",13,16.25,"NONE",0,1.125,1.25
10,99998,"88-02-99998-35364",71,119.99,"NONE",0,1.125,1.69
10,99998,"88-02-99998-35365",23,38.87,"NONE",0,1.0812,1.69
10,99998,"88-02-99998-35347",22,37.18,"NONE",0,1.125,1.69
10,99998,"88-02-99998-35276",32,68.8,"NONE",0,1,2.15
10,99998,"88-02-99998-35373",22,53.9,"NONE",0,1.125,2.45
10,99998,"88-02-99998-35197",16,27.04,"NONE",0,1.125,1.69
10,99998,"88-02-99998-35483",3,4.47,"NONE",0,1.125,1.49
10,99998,"88-02-99998-35374",16,39.2,"NONE",0,1.125,2.45
11,45300,"00-01-45300-00542",5,10.95,"NONE",0,1.0187,2.19
11,45300,"00-01-45300-00549",13,28.47,"NONE",0,1.0187,2.19
11,45300,"00-01-45300-00540",4,8.76,"NONE",0,1.0187,2.19
11,51500,"00-01-51500-00055",5,14.45,"NONE",0,1.125,2.89
11,51500,"00-01-51500-25525",11,24.42,"NONE",0,1.125,2.22
11,51500,"00-02-51500-24128",54,137.64,"NONE",0,1.125,2.54888888888889
11,51500,"00-01-51500-25544",29,77.7,"NONE",0,1.125,2.67931034482759
11,51500,"00-01-51500-24320",29,71.04,"NONE",0,1.125,2.44965517241379
11,51500,"00-01-51500-25545",16,42.18,"NONE",0,1.125,2.63625
11,51500,"00-01-51500-24135",15,35.52,"NONE",0,1.125,2.368
11,51500,"00-01-51500-24334",6,18.54,"NONE",0,0.8438,3.09
11,51500,"00-01-51500-72000",18,42.18,"NONE",0,1.0812,2.34333333333333
11,51500,"00-01-51500-01700",25,74.75,"NONE",0,1,2.99
11,79311,"00-01-79311-00004",13,31.07,"NONE",0,1,2.39
11,79311,"00-02-79311-00003",18,43.02,"NONE",0,1,2.39
11,51087,"08-01-51087-00006",5,28.14,"NONE",0,1,5.628
11,33776,"00-03-33776-10035",4,13.56,"NONE",0,1,3.39
11,33776,"00-01-33776-10037",3,10.17,"NONE",0,1,3.39
11,33776,"00-01-33776-10030",6,20.34,"NONE",0,1,3.39
11,33776,"00-01-33776-10033",6,20.34,"NONE",0,1,3.39
11,51651,"00-01-51651-09235",6,25.74,"NONE",0,1,4.29
11,48001,"00-01-48001-00643",47,149.5,"A+",0,1.0187,3.18085106382979
11,48001,"00-01-48001-00641",20,59.8,"A+",0,1.0187,2.99
11,48001,"00-01-48001-00687",63,188.37,"A+",0,0.9375,2.99
11,72457,"00-01-72457-66011",1,3.99,"NONE",0,0.75,3.99
11,99998,"88-02-99998-35369",19,40.85,"NONE",0,1,2.15
11,99998,"88-02-99998-35182",10,12.5,"NONE",0,1.125,1.25
11,99998,"88-02-99998-35364",37,67.6,"NONE",0,1.125,1.82702702702703
11,99998,"88-02-99998-35365",18,33.8,"NONE",0,1.0812,1.87777777777778
11,99998,"88-02-99998-35347",26,50.7,"NONE",0,1.125,1.95
11,99998,"88-02-99998-35276",26,58.05,"NONE",0,1,2.23269230769231
11,99998,"88-02-99998-35373",25,68.6,"NONE",0,1.125,2.744
11,99998,"88-02-99998-35197",17,28.73,"NONE",0,1.125,1.69
11,99998,"88-02-99998-35483",1,1.49,"NONE",0,1.125,1.49
11,99998,"88-02-99998-35374",9,22.05,"NONE",0,1.125,2.45
12,45300,"00-01-45300-00542",14,30.66,"NONE",0,1.0187,2.19
