DATE,IPG2211N
1991-05-01,68.9159
1991-06-01,77.1266
1991-07-01,82.8681
1991-08-01,82.0134
1991-09-01,75.6726
1991-10-01,68.4600
1991-11-01,68.5905
1991-12-01,72.5001
1992-01-01,76.3454
1992-02-01,72.5838
1992-03-01,68.2756
1992-04-01,65.6965
1992-05-01,66.5711
1992-06-01,73.0804
1992-07-01,80.3847
1992-08-01,79.5582
1992-09-01,74.6987
1992-10-01,68.8537
1992-11-01,69.6758
1992-12-01,76.0833
1993-01-01,77.6749
1993-02-01,75.1092
1993-03-01,71.1866
1993-04-01,66.8361
1993-05-01,68.0393
1993-06-01,76.7436
1993-07-01,85.8577
1993-08-01,85.9538
1993-09-01,77.5044
1993-10-01,69.2900
1993-11-01,70.3729
1993-12-01,76.2577
1994-01-01,82.0302
1994-02-01,76.6372
1994-03-01,72.0260
1994-04-01,68.0178
1994-05-01,69.5021
1994-06-01,80.7147
1994-07-01,87.1047
1994-08-01,85.5512
1994-09-01,78.5878
1994-10-01,71.5596
1994-11-01,72.1969
1994-12-01,77.3523
1995-01-01,81.6179
1995-02-01,77.5110
1995-03-01,73.7351
1995-04-01,69.8220
1995-05-01,73.0125
1995-06-01,81.5073
1995-07-01,90.4389
1995-08-01,94.6517
1995-09-01,82.2441
1995-10-01,74.7897
1995-11-01,75.0062
1995-12-01,81.2612
1996-01-01,86.6791
1996-02-01,82.4101
1996-03-01,78.4170
1996-04-01,72.8635
1996-05-01,76.8456
1996-06-01,85.1667
1996-07-01,90.3823
1996-08-01,91.0586
1996-09-01,82.5919
1996-10-01,75.1195
1996-11-01,76.3487
1996-12-01,81.4314
1997-01-01,86.6427
1997-02-01,80.1913
1997-03-01,75.7104
1997-04-01,72.2515
1997-05-01,73.1001
1997-06-01,82.5125
1997-07-01,92.7738
1997-08-01,92.2841
1997-09-01,85.6932
1997-10-01,78.4057
1997-11-01,77.5792
1997-12-01,83.3847
1998-01-01,84.7572
1998-02-01,80.0052
1998-03-01,79.4386
1998-04-01,73.9566
1998-05-01,79.3736
1998-06-01,90.2293
1998-07-01,98.4901
1998-08-01,98.2941
1998-09-01,91.7894
1998-10-01,81.8528
1998-11-01,79.0292
1998-12-01,85.3087
1999-01-01,90.5209
1999-02-01,83.2535
1999-03-01,82.9765
1999-04-01,77.4012
1999-05-01,80.6012
1999-06-01,91.9652
1999-07-01,103.2199
1999-08-01,101.9993
1999-09-01,91.6262
1999-10-01,81.9097
1999-11-01,80.7085
1999-12-01,87.9622
2000-01-01,92.2252
2000-02-01,86.0219
2000-03-01,82.9416
2000-04-01,79.1183
2000-05-01,85.9385
2000-06-01,94.9666
2000-07-01,100.9385
2000-08-01,104.3357
2000-09-01,94.8055
2000-10-01,84.4761
2000-11-01,84.6713
2000-12-01,93.7830
2001-01-01,97.4839
2001-02-01,88.4600
2001-03-01,85.5145
2001-04-01,80.6255
2001-05-01,84.2219
2001-06-01,94.7114
2001-07-01,101.1429
2001-08-01,104.9186
2001-09-01,92.4048
2001-10-01,83.8666
2001-11-01,81.5255
2001-12-01,87.0653
2002-01-01,93.4462
2002-02-01,87.1882
2002-03-01,85.9872
2002-04-01,83.2200
2002-05-01,86.4023
2002-06-01,97.2842
2002-07-01,107.8586
2002-08-01,107.2340
2002-09-01,98.2105
2002-10-01,88.3740
2002-11-01,85.3696
2002-12-01,92.7688
2003-01-01,99.2146
2003-02-01,93.8080
2003-03-01,87.9245
2003-04-01,83.2149
2003-05-01,87.3502
2003-06-01,95.5287
2003-07-01,108.0230
2003-08-01,110.5490
2003-09-01,97.8965
2003-10-01,88.2913
2003-11-01,86.5869
2003-12-01,95.8509
2004-01-01,101.4854
2004-02-01,95.4539
2004-03-01,89.5912
2004-04-01,85.2382
2004-05-01,91.8307
2004-06-01,101.3472
2004-07-01,108.6568
2004-08-01,106.9236
2004-09-01,100.0361
2004-10-01,90.3099
2004-11-01,88.0298
2004-12-01,98.2432
2005-01-01,100.5180
2005-02-01,93.4341
2005-03-01,92.0098
2005-04-01,85.0923
2005-05-01,89.2707
2005-06-01,105.3702
2005-07-01,115.7128
2005-08-01,117.2059
2005-09-01,106.2274
2005-10-01,93.8650
2005-11-01,90.1143
2005-12-01,101.0209
2006-01-01,98.3652
2006-02-01,94.9756
2006-03-01,93.0500
2006-04-01,87.1221
2006-05-01,93.3602
2006-06-01,106.4587
2006-07-01,118.2580
2006-08-01,119.0322
2006-09-01,101.6588
2006-10-01,92.5908
2006-11-01,91.2439
2006-12-01,98.4618
2007-01-01,103.7172
2007-02-01,101.8218
2007-03-01,94.0200
2007-04-01,89.3184
2007-05-01,95.1251
2007-06-01,106.7553
2007-07-01,114.3852
2007-08-01,121.0940
2007-09-01,107.7787
2007-10-01,96.8831
2007-11-01,93.3234
2007-12-01,100.8597
2008-01-01,106.1460
2008-02-01,100.4437
2008-03-01,95.0260
2008-04-01,90.1760
2008-05-01,93.8625
2008-06-01,109.5851
2008-07-01,117.3505
2008-08-01,113.8823
2008-09-01,103.3491
2008-10-01,93.2335
2008-11-01,91.8977
2008-12-01,101.8014
2009-01-01,105.7413
2009-02-01,96.4428
2009-03-01,92.2986
2009-04-01,86.8242
2009-05-01,90.6389
2009-06-01,103.0377
2009-07-01,110.6045
2009-08-01,112.5792
2009-09-01,100.4701
2009-10-01,90.9259
2009-11-01,88.1769
2009-12-01,102.5951
2010-01-01,107.8967
2010-02-01,101.9572
2010-03-01,93.2285
2010-04-01,86.0874
2010-05-01,93.7706
2010-06-01,110.3572
2010-07-01,120.1457
2010-08-01,120.2087
2010-09-01,106.1109
2010-10-01,91.6614
2010-11-01,90.6340
2010-12-01,105.7792
2011-01-01,108.9151
2011-02-01,100.0117
2011-03-01,94.3484
2011-04-01,89.0821
2011-05-01,92.7937
2011-06-01,108.5421
2011-07-01,121.6974
2011-08-01,120.2822
2011-09-01,104.6692
2011-10-01,91.8217
2011-11-01,90.7683
2011-12-01,99.3654
2012-01-01,101.6890
2012-02-01,95.5366
2012-03-01,91.0434
2012-04-01,87.5189
2012-05-01,96.5166
2012-06-01,107.0627
2012-07-01,120.8149
2012-08-01,117.2932
2012-09-01,102.4185
2012-10-01,91.8143
2012-11-01,90.4217
2012-12-01,97.8702
2013-01-01,104.3752
2013-02-01,97.7907
2013-03-01,95.5280
2013-04-01,89.2783
2013-05-01,93.2729
2013-06-01,105.7336
2013-07-01,116.4651
2013-08-01,114.3700
2013-09-01,104.3899
2013-10-01,93.5507
2013-11-01,93.0872
2013-12-01,104.1544
2014-01-01,111.8708
2014-02-01,103.4990
2014-03-01,97.4134
2014-04-01,88.7323
2014-05-01,94.1360
2014-06-01,106.5504
2014-07-01,114.2235
2014-08-01,113.9230
2014-09-01,104.9454
2014-10-01,93.6892
2014-11-01,94.1108
2014-12-01,101.1895
2015-01-01,108.1515
2015-02-01,104.9900
2015-03-01,97.5969
